facility;day;I46;I49;YL58;YL27;YL31;YL32;KB18;YL44;KB1;YL2;YL45;I48
4-2;10;3.60E+06;2.01E+06;1.00E+07;3.05E+04;1.27E+06;2.47E+06;5.24E+03;1.92E+07;2.75E+03;7.02E+04;3.05E+06;3.69E+07
4-2;20;5.89E+06;1.41E+04;1.13E+07;6.39E+06;1.37E+06;3.36E+06;8.35E+01;1.92E+07;2.60E+04;5.43E+02;5.38E+06;5.00E+07
4-2;20;1.07E+06;1.55E+04;2.55E+06;7.79E+06;2.14E+06;4.18E+06;9.19E+01;2.26E+07;1.37E+04;5.97E+02;6.99E+06;7.11E+07
4-2;20;3.57E+06;1.70E+04;9.74E+06;7.46E+06;1.08E+06;5.23E+06;1.01E+02;1.27E+07;1.26E+03;6.54E+02;7.20E+06;6.77E+07
4-2;20;1.16E+06;8.71E+05;2.48E+06;5.97E+06;1.85E+06;1.77E+06;7.25E+03;1.89E+07;8.62E+02;6.64E+02;3.61E+06;4.28E+07
4-2;20;1.69E+06;1.09E+06;2.86E+06;6.86E+06;1.05E+06;2.39E+06;2.69E+02;2.03E+07;2.12E+03;4.52E+02;4.44E+06;4.60E+07
4-3;9;2.33E+06;3.09E+05;3.53E+06;1.33E+07;6.68E+06;8.82E+06;1.61E+02;5.10E+07;1.33E+04;3.13E+03;9.80E+06;1.27E+08
4-3;9;3.41E+06;1.45E+06;1.53E+07;4.34E+05;2.07E+06;2.09E+06;5.77E+01;2.71E+07;7.22E+02;1.41E+05;3.21E+06;3.75E+07
4-3;9;7.34E+05;8.68E+04;1.77E+06;8.84E+04;2.01E+06;2.22E+06;4.35E+01;1.10E+07;5.51E+02;1.35E+03;1.75E+06;2.14E+07
4-3;9;1.44E+06;3.00E+05;2.76E+06;6.38E+06;4.09E+06;3.21E+06;6.87E+01;2.25E+07;8.10E+03;1.04E+03;4.35E+06;5.94E+07
4-3;20;2.99E+06;1.29E+05;8.62E+06;2.29E+06;3.18E+06;1.71E+06;5.37E+01;2.25E+07;6.71E+02;3.49E+02;1.93E+06;2.20E+07
4-3;20;3.01E+06;6.99E+04;9.66E+06;4.54E+06;3.82E+06;1.33E+06;5.64E+01;2.36E+07;2.06E+04;3.67E+02;3.63E+06;3.96E+07
4-3;20;1.03E+07;1.03E+06;3.39E+07;8.36E+06;9.43E+06;9.20E+06;1.94E+02;6.72E+07;2.42E+03;1.26E+03;1.08E+07;1.07E+08
4-3;20;2.38E+06;2.00E+05;7.03E+06;2.53E+06;1.42E+06;1.09E+06;4.23E+01;2.28E+07;5.28E+02;3.48E+02;2.21E+06;2.23E+07
4-3;30;5.84E+05;1.71E+05;3.68E+06;6.06E+06;4.78E+06;5.25E+06;7.58E+01;2.66E+07;2.03E+04;4.93E+02;4.04E+06;7.33E+07
4-3;30;4.20E+06;6.92E+05;1.11E+07;4.18E+06;2.29E+06;2.85E+06;6.59E+01;3.54E+07;4.52E+03;4.28E+02;4.12E+06;5.90E+07
4-3;30;1.00E+06;4.59E+05;5.06E+06;9.00E+06;6.28E+06;8.68E+06;1.47E+02;6.51E+07;8.93E+03;9.55E+02;9.65E+06;1.46E+08
4-3;30;6.62E+05;1.56E+04;4.92E+06;1.13E+07;4.40E+06;2.96E+06;9.23E+01;5.14E+07;7.87E+03;6.00E+02;7.30E+06;1.08E+08
4-3;40;1.56E+06;6.85E+05;1.21E+07;6.30E+06;3.84E+06;1.65E+06;6.09E+01;2.67E+07;3.20E+04;3.96E+02;3.12E+06;3.67E+07
4-3;40;7.55E+05;2.96E+04;6.50E+06;2.01E+07;9.99E+06;9.45E+06;1.75E+02;5.47E+07;2.52E+04;1.14E+03;1.13E+07;1.29E+08
4-3;40;2.26E+05;2.95E+05;1.65E+06;3.03E+06;2.01E+06;2.47E+06;4.70E+01;2.82E+07;1.71E+04;3.06E+02;2.24E+06;2.41E+07
4-3;40;4.02E+05;7.45E+05;2.79E+06;7.07E+06;4.31E+06;2.27E+06;6.96E+01;2.81E+07;1.62E+04;4.53E+02;4.92E+06;5.77E+07
