facility;day;I46;I49;YL58;YL27;YL31;YL32;KB18;YL44;KB1;YL2;YL45;I48
1-2;15;5.08E+05;1.86E+06;4.50E+06;7.94E+06;3.01E+06;1.40E+06;1.44E+02;5.25E+07;2.10E+04;9.34E+02;4.17E+06;8.99E+07
1-2;23;8.17E+05;8.28E+05;9.79E+06;1.50E+07;4.58E+06;7.31E+06;3.16E+02;2.94E+07;2.76E+04;2.05E+03;6.97E+06;1.14E+08
1-2;23;9.79E+05;9.51E+05;4.72E+06;8.34E+06;1.70E+06;1.31E+06;1.00E+02;4.36E+07;3.39E+04;6.50E+02;3.38E+06;5.36E+07
1-2;30;9.72E+05;1.14E+06;9.58E+06;2.34E+07;6.99E+06;1.22E+07;4.64E+02;5.19E+07;2.37E+04;3.01E+03;6.25E+06;1.66E+08
1-2;30;1.25E+06;4.32E+05;1.34E+07;2.11E+07;6.44E+06;6.44E+06;3.25E+02;5.20E+07;7.35E+04;2.11E+03;7.24E+06;1.26E+08
1-2;36;6.55E+05;4.62E+04;5.68E+06;4.61E+06;1.73E+06;1.70E+06;8.72E+01;1.19E+07;2.38E+04;5.67E+02;1.67E+06;3.56E+07
1-2;36;1.41E+06;1.71E+06;7.80E+06;9.38E+06;2.42E+06;2.86E+06;1.42E+02;2.67E+07;6.94E+04;9.25E+02;2.87E+06;5.15E+07
1-2;52;6.88E+05;2.60E+05;7.33E+06;1.51E+07;2.34E+06;6.42E+06;2.00E+02;2.76E+07;4.08E+04;1.30E+03;3.79E+06;1.02E+08
1-2;52;7.14E+05;6.75E+05;7.96E+06;1.53E+07;4.62E+06;8.89E+06;3.00E+02;3.79E+07;5.57E+04;1.95E+03;5.75E+06;1.10E+08
1-2;57;7.63E+05;8.15E+04;6.60E+06;9.25E+06;2.87E+06;1.74E+06;1.09E+02;1.96E+07;4.33E+04;7.09E+02;3.65E+06;6.07E+07
1-2;57;1.55E+06;1.26E+05;7.68E+06;1.04E+07;3.86E+06;2.48E+06;1.30E+02;3.96E+07;1.02E+05;8.47E+02;5.42E+06;7.41E+07
1-2;67;1.38E+06;8.65E+05;1.34E+07;2.34E+07;6.32E+06;1.09E+07;3.68E+02;4.20E+07;9.05E+04;2.39E+03;9.11E+06;1.42E+08
1-2;67;1.31E+06;7.67E+05;8.70E+06;2.26E+07;6.80E+06;2.70E+06;1.94E+02;4.16E+07;5.64E+04;1.26E+03;5.58E+06;1.13E+08
5;7;2.53E+06;6.04E+05;5.94E+06;5.50E+06;3.57E+06;4.66E+06;2.34E+05;1.63E+08;1.82E+04;4.14E+04;3.65E+06;8.76E+07
5;7;1.22E+06;2.01E+06;4.87E+06;2.53E+06;4.24E+06;6.49E+06;4.13E+04;1.22E+08;1.11E+04;1.79E+04;3.82E+06;1.36E+08
5;55;1.05E+06;5.22E+06;5.03E+06;2.79E+07;5.76E+06;1.04E+07;1.57E+02;1.31E+08;2.13E+04;1.02E+03;1.03E+07;3.63E+08
5;55;1.11E+06;1.12E+05;4.22E+06;1.57E+07;4.82E+06;8.66E+06;1.40E+02;8.18E+07;1.97E+04;9.13E+02;4.83E+06;2.54E+08
5;55;5.83E+06;3.16E+06;1.46E+07;8.59E+06;3.10E+06;5.86E+06;1.28E+02;2.77E+07;2.82E+04;8.31E+02;3.64E+06;1.60E+08
4-2;10;2.61E+06;1.87E+04;6.23E+06;2.76E+02;5.88E+05;4.35E+06;6.14E+01;1.06E+07;2.03E+04;8.87E+02;3.23E+06;3.07E+07
4-2;10;7.32E+05;3.26E+05;2.75E+06;3.68E+06;2.59E+06;1.19E+07;1.37E+02;2.48E+07;2.09E+04;7.71E+03;9.30E+06;7.27E+07
4-2;10;2.08E+06;1.44E+04;5.58E+06;6.32E+03;8.90E+05;3.88E+06;8.54E+01;1.32E+07;2.06E+03;5.20E+03;3.84E+06;4.18E+07
4-2;10;3.77E+05;2.56E+05;1.38E+06;2.62E+05;1.19E+06;3.13E+06;5.89E+01;2.65E+07;9.88E+02;2.08E+04;3.00E+06;2.98E+07
