facility;day;I46;I49;YL58;YL27;YL31;YL32;KB18;YL44;KB1;YL2;YL45;I48
1-1;14;2.18E+07;2.73E+06;2.53E+07;1.99E+03;5.77E+06;8.09E+06;4.42E+02;6.77E+07;9.93E+03;1.02E+06;1.14E+07;2.11E+08
1-1;14;1.74E+06;1.96E+05;8.95E+06;7.64E+02;2.37E+06;3.86E+06;1.70E+02;4.85E+07;4.31E+04;1.10E+03;5.39E+06;9.66E+07
1-1;28;9.71E+05;3.40E+04;4.89E+06;2.60E+02;9.06E+05;6.51E+05;5.77E+01;1.35E+07;2.45E+04;3.75E+02;1.74E+06;3.88E+07
1-1;28;2.02E+07;8.58E+05;2.27E+07;2.00E+03;9.53E+06;1.05E+07;4.44E+02;4.74E+07;5.42E+04;7.45E+05;1.03E+07;2.24E+08
1-1;42;1.34E+06;2.26E+05;6.60E+06;4.93E+02;1.56E+05;1.05E+06;1.09E+02;5.13E+07;6.67E+04;7.12E+02;3.28E+06;7.62E+07
1-1;42;5.15E+05;2.74E+05;3.59E+06;4.57E+02;9.64E+05;2.45E+06;1.02E+02;9.08E+07;3.25E+04;1.51E+05;8.47E+06;6.70E+07
1-1;72;2.88E+05;2.30E+05;2.72E+06;6.09E+02;3.70E+06;3.72E+06;1.35E+02;1.48E+07;1.21E+04;1.77E+04;3.42E+06;5.75E+07
1-1;72;3.45E+06;2.62E+05;1.00E+07;9.67E+02;5.47E+06;4.37E+06;2.15E+02;3.70E+07;2.41E+04;2.87E+05;7.51E+06;9.81E+07
2;27;2.46E+06;7.22E+04;1.80E+07;1.21E+07;7.81E+05;8.25E+05;8.91E+01;2.24E+07;2.21E+03;5.79E+02;2.12E+06;5.26E+07
2;27;2.24E+06;2.42E+06;7.95E+06;1.23E+07;4.22E+05;2.30E+06;1.19E+02;1.88E+07;3.52E+03;7.73E+02;3.05E+06;5.79E+07
2;27;2.36E+06;2.78E+04;1.83E+07;1.74E+07;1.40E+06;2.32E+06;1.64E+02;8.44E+07;1.39E+04;1.07E+03;4.69E+06;9.59E+07
2;27;1.46E+07;4.68E+05;3.68E+07;3.48E+07;2.54E+06;3.91E+06;2.74E+02;9.31E+07;1.13E+04;1.78E+03;6.98E+06;1.35E+08
2;27;7.35E+06;7.99E+05;2.94E+07;1.76E+07;1.14E+06;6.20E+06;2.08E+02;4.07E+07;8.54E+03;1.36E+03;5.05E+06;1.05E+08
3;28;1.70E+06;2.62E+05;5.32E+06;1.58E+03;2.09E+06;2.28E+06;1.27E+02;2.25E+07;1.58E+03;8.23E+02;2.04E+06;4.95E+07
3;28;3.59E+06;1.09E+06;8.71E+06;8.54E+02;3.25E+06;5.32E+06;1.90E+02;5.23E+07;2.89E+03;1.23E+03;6.65E+06;1.25E+08
3;28;5.25E+06;9.87E+05;8.54E+06;8.03E+02;1.58E+06;4.95E+06;1.78E+02;6.23E+07;2.59E+03;1.16E+03;5.04E+06;1.39E+08
3;28;1.40E+07;4.04E+06;4.23E+07;1.36E+03;2.22E+06;1.14E+07;3.03E+02;6.66E+07;5.97E+03;1.97E+03;8.67E+06;1.95E+08
3;28;9.43E+06;2.62E+06;2.07E+07;7.87E+02;1.97E+06;1.30E+06;1.35E+02;3.72E+07;1.10E+05;8.76E+02;3.20E+06;9.99E+07
4-1;10;1.09E+05;2.41E+04;2.10E+06;6.41E+02;1.53E+06;6.43E+06;1.42E+02;3.97E+07;1.34E+04;1.47E+03;7.90E+06;1.22E+08
4-1;10;2.07E+05;2.44E+04;2.52E+06;6.50E+02;1.67E+06;5.41E+06;1.44E+02;4.23E+07;4.12E+04;4.97E+04;4.10E+06;7.21E+07
4-1;10;2.66E+06;1.52E+06;1.22E+07;8.06E+02;2.24E+06;1.04E+07;1.79E+02;6.22E+07;3.75E+03;1.58E+04;1.18E+07;1.63E+08
4-1;20;4.71E+05;1.18E+04;1.60E+06;3.15E+02;1.18E+06;1.59E+06;7.01E+01;2.25E+07;8.76E+02;4.56E+02;5.06E+06;6.40E+07
4-1;20;2.05E+05;8.35E+03;1.09E+06;1.29E+03;1.31E+06;1.29E+06;4.94E+01;9.83E+06;6.18E+02;3.21E+02;3.67E+06;3.52E+07
4-1;20;7.81E+05;1.99E+04;2.65E+06;5.30E+02;2.19E+06;5.09E+06;1.18E+02;2.67E+07;1.47E+03;7.66E+02;1.11E+07;1.09E+08
