facility;day;I46;I49;YL58;YL27;YL31;YL32;KB18;YL44;KB1;YL2;YL45;I48
1-1;14;6.15;0.77;7.14;0.00;1.63;2.28;0.00;19.08;0.00;0.29;3.21;59.45
1-1;14;1.04;0.12;5.34;0.00;1.41;2.30;0.00;28.93;0.03;0.00;3.22;57.61
1-1;28;1.58;0.06;7.95;0.00;1.47;1.06;0.00;21.91;0.04;0.00;2.82;63.11
1-1;28;5.84;0.25;6.55;0.00;2.75;3.02;0.00;13.69;0.02;0.22;2.97;64.70
1-1;42;0.95;0.16;4.70;0.00;0.11;0.75;0.00;36.60;0.05;0.00;2.34;54.34
1-1;42;0.30;0.16;2.06;0.00;0.55;1.41;0.00;52.12;0.02;0.09;4.86;38.45
1-1;72;0.33;0.27;3.15;0.00;4.28;4.30;0.00;17.13;0.01;0.02;3.96;66.54
1-1;72;2.07;0.16;6.03;0.00;3.28;2.62;0.00;22.21;0.01;0.17;4.51;58.93
2;27;2.21;0.06;16.13;10.82;0.70;0.74;0.00;20.16;0.00;0.00;1.90;47.27
2;27;2.09;2.25;7.40;11.49;0.39;2.14;0.00;17.46;0.00;0.00;2.84;53.94
2;27;1.04;0.01;8.05;7.68;0.62;1.02;0.00;37.22;0.01;0.00;2.07;42.29
2;27;4.46;0.14;11.20;10.60;0.77;1.19;0.00;28.34;0.00;0.00;2.12;41.16
2;27;3.44;0.37;13.77;8.24;0.53;2.90;0.00;19.04;0.00;0.00;2.36;49.34
3;28;1.98;0.31;6.20;0.00;2.44;2.65;0.00;26.25;0.00;0.00;2.38;57.78
3;28;1.74;0.53;4.22;0.00;1.58;2.58;0.00;25.39;0.00;0.00;3.23;60.73
3;28;2.31;0.43;3.75;0.00;0.69;2.17;0.00;27.38;0.00;0.00;2.21;61.04
3;28;4.07;1.17;12.28;0.00;0.65;3.31;0.00;19.33;0.00;0.00;2.51;56.68
3;28;5.34;1.48;11.76;0.00;1.12;0.74;0.00;21.07;0.06;0.00;1.82;56.61
4-1;10;0.06;0.01;1.17;0.00;0.85;3.58;0.00;22.07;0.01;0.00;4.40;67.86
4-1;10;0.16;0.02;1.96;0.00;1.30;4.21;0.00;32.94;0.03;0.04;3.19;56.15
4-1;10;1.00;0.57;4.57;0.00;0.84;3.90;0.00;23.36;0.00;0.01;4.42;61.33
4-1;20;0.49;0.01;1.66;0.00;1.22;1.65;0.00;23.37;0.00;0.00;5.25;66.35
4-1;20;0.39;0.02;2.08;0.00;2.49;2.45;0.00;18.69;0.00;0.00;6.98;66.90
4-1;20;0.50;0.01;1.69;0.00;1.39;3.23;0.00;16.93;0.00;0.00;7.06;69.19
1-2;15;0.31;1.12;2.71;4.79;1.82;0.84;0.00;31.67;0.01;0.00;2.52;54.21
1-2;23;0.43;0.44;5.19;7.95;2.43;3.88;0.00;15.59;0.01;0.00;3.70;60.38
1-2;23;0.83;0.80;3.98;7.03;1.43;1.11;0.00;36.76;0.03;0.00;2.85;45.18
1-2;30;0.35;0.41;3.44;8.41;2.51;4.36;0.00;18.64;0.01;0.00;2.24;59.64
1-2;30;0.53;0.18;5.71;8.98;2.75;2.74;0.00;22.18;0.03;0.00;3.09;53.80
1-2;36;1.03;0.07;8.92;7.24;2.73;2.67;0.00;18.71;0.04;0.00;2.62;55.96
1-2;36;1.32;1.60;7.30;8.79;2.27;2.68;0.00;25.04;0.07;0.00;2.68;48.25
1-2;52;0.41;0.16;4.41;9.11;1.41;3.87;0.00;16.65;0.02;0.00;2.28;61.67
1-2;52;0.37;0.35;4.16;7.97;2.41;4.64;0.00;19.80;0.03;0.00;3.00;57.25
1-2;57;0.72;0.08;6.27;8.78;2.73;1.65;0.00;18.59;0.04;0.00;3.47;57.67
1-2;57;1.07;0.09;5.28;7.16;2.66;1.71;0.00;27.24;0.07;0.00;3.73;51.00
1-2;67;0.55;0.35;5.38;9.39;2.54;4.39;0.00;16.86;0.04;0.00;3.66;56.85
1-2;67;0.64;0.38;4.28;11.10;3.34;1.33;0.00;20.43;0.03;0.00;2.74;55.73
5;7;0.91;0.22;2.14;1.99;1.29;1.68;0.08;58.73;0.01;0.01;1.32;31.61
5;7;0.43;0.71;1.72;0.90;1.50;2.29;0.01;43.11;0.00;0.01;1.35;47.96
5;55;0.19;0.93;0.90;4.98;1.03;1.85;0.00;23.37;0.00;0.00;1.84;64.91
5;55;0.30;0.03;1.13;4.19;1.29;2.31;0.00;21.81;0.01;0.00;1.29;67.66
5;55;2.51;1.36;6.29;3.70;1.33;2.52;0.00;11.94;0.01;0.00;1.56;68.77
4-2;10;4.47;0.03;10.67;0.00;1.01;7.45;0.00;18.15;0.03;0.00;5.54;52.65
4-2;10;0.57;0.25;2.13;2.85;2.01;9.26;0.00;19.25;0.02;0.01;7.22;56.43
4-2;10;2.91;0.02;7.83;0.01;1.25;5.44;0.00;18.54;0.00;0.01;5.38;58.61
4-2;10;0.57;0.39;2.10;0.40;1.81;4.75;0.00;40.18;0.00;0.03;4.55;45.23
4-2;10;4.58;2.56;12.75;0.04;1.62;3.14;0.01;24.42;0.00;0.09;3.88;46.93
4-2;20;5.72;0.01;10.96;6.21;1.33;3.27;0.00;18.66;0.03;0.00;5.22;48.59
4-2;20;0.90;0.01;2.16;6.58;1.81;3.53;0.00;19.07;0.01;0.00;5.91;60.02
4-2;20;3.11;0.01;8.49;6.50;0.94;4.56;0.00;11.08;0.00;0.00;6.27;59.03
4-2;20;1.46;1.10;3.12;7.51;2.33;2.22;0.01;23.83;0.00;0.00;4.53;53.89
4-2;20;1.95;1.26;3.30;7.92;1.22;2.75;0.00;23.39;0.00;0.00;5.13;53.08
4-3;9;1.04;0.14;1.58;5.96;3.00;3.95;0.00;22.87;0.01;0.00;4.39;57.06
4-3;9;3.68;1.56;16.47;0.47;2.24;2.26;0.00;29.22;0.00;0.15;3.47;40.47
4-3;9;1.79;0.21;4.33;0.22;4.89;5.41;0.00;26.78;0.00;0.00;4.26;52.11
4-3;9;1.38;0.29;2.64;6.11;3.92;3.08;0.00;21.53;0.01;0.00;4.16;56.89
4-3;20;4.58;0.20;13.20;3.51;4.87;2.61;0.00;34.43;0.00;0.00;2.96;33.64
4-3;20;3.37;0.08;10.81;5.08;4.27;1.49;0.00;26.45;0.02;0.00;4.06;44.36
4-3;20;3.99;0.40;13.19;3.26;3.67;3.58;0.00;26.17;0.00;0.00;4.22;41.52
4-3;20;3.84;0.32;11.34;4.09;2.29;1.77;0.00;36.78;0.00;0.00;3.57;36.00
4-3;30;0.47;0.14;2.95;4.87;3.84;4.22;0.00;21.39;0.02;0.00;3.24;58.86
4-3;30;3.39;0.56;9.00;3.38;1.85;2.30;0.00;28.60;0.00;0.00;3.32;47.60
4-3;30;0.40;0.18;2.01;3.58;2.50;3.46;0.00;25.92;0.00;0.00;3.85;58.09
4-3;30;0.35;0.01;2.58;5.93;2.31;1.55;0.00;26.95;0.00;0.00;3.83;56.49
4-3;40;1.68;0.74;13.01;6.79;4.14;1.78;0.00;28.84;0.03;0.00;3.37;39.61
4-3;40;0.31;0.01;2.68;8.31;4.13;3.90;0.00;22.61;0.01;0.00;4.67;53.35
4-3;40;0.35;0.46;2.57;4.71;3.13;3.85;0.00;43.87;0.03;0.00;3.48;37.54
4-3;40;0.37;0.69;2.57;6.53;3.98;2.09;0.00;25.92;0.01;0.00;4.54;53.28
